"content","pos","meaning","examples","collocations","mode"
"come into effect","v. phr.","生效；開始實施","The new tax law will **come into effect** from the first of January.","** 常指法律、合約或政策正式運作","recognition"
"indecency","n.","下流；無禮；猥褻","The actor was criticized for public **indecency** during the live broadcast.","** public indecency (妨害風化)","recognition"
"be fast asleep","adj. phr.","熟睡中","The baby was **fast asleep** in the crib, unaware of the noise outside.","** fast 在此指「牢固地|徹底地」","recognition"
"take sth. with a grain of salt","v. phr.","對某事持保留態度；不要全然相信","You should **take his promises with a grain of salt**; he rarely keeps them.","** 也可以說 take with a pinch of salt","recognition"
"maintain impartiality","v. phr.","保持公正；不偏不倚","A judge must **maintain** strict **impartiality** throughout the trial.","** im- (不) + partial (偏袒的)","recognition"
"tenuous","adj.","稀薄的；微弱的","The planet's wispy atmosphere is **tenuous** at best, making life unlikely.","** 常形容大氣稀薄或關係脆弱","recognition"
"provoke","v.","挑釁；激發；引起","The government's new policy **provoked** widespread protests across the nation.","","recognition"
"inaugurated","v.","開創；舉行就職典禮","The city **inaugurated** a new subsidy program to encourage green energy.","** 用於正式啟動計畫或人物就職","recognition"
"vantage","n.","優勢地位；有利位置","From my **vantage** point on the hill, I could see the entire city below.","** vantage point (制高點；觀點)","recognition"
"feed on","v. phr.","以...為食","Owls primarily **feed on** small rodents and insects.","** 後接食物來源","recognition"
"終身地；畢生","","終身地；畢生","","** throughout 為介係詞，表示貫穿整個時期","production"
"potassium","n.","鉀","Bananas are a great source of **potassium**, which is essential for muscle function.","","recognition"
"talent show","","才藝表演","","** talent (天賦|才華)","production"
"medication patch","n.","藥貼；藥布","The doctor prescribed a **medication patch** to deliver the painkiller through the skin.","** apply a patch to the skin","recognition"
"born blind and deaf","","天生盲聾","","** be born + 形容詞 (表示出生時的狀態)","production"
"franchise","n.","特許經營權；經銷權","He decided to open a fast-food **franchise** in his hometown.","** a movie franchise (系列電影)","recognition"
"be green with envy","phr.","非常嫉妒","When she saw her sister's new promotion, she was **green with envy**.","** 用顏色「綠色」形容嫉妒、眼紅","recognition"
"angry / mad / furious / irritated / disturbed","","生氣與煩躁的搭配詞 (angry, mad, furious, irritated, disturbed)","","","production"
"robust","adj.","強勁的；堅固的；健壯的","The company reported **robust** earning growth despite the economic downturn.","** robust growth (強勁增長)|a robust system","recognition"
"by virtue of","phr.","憑藉著；因為","She got the job **by virtue of** her extensive experience in marketing.","** 指靠著某種特質或優勢","recognition"
"criminal purposes","","犯罪 n.","","** criminal (犯罪的)","production"
"enameled","adj.","塗了琺瑯的；搪瓷的","The antique watch featured an **enameled** dial with intricate floral patterns.","** enamel (n.) 琺瑯；指塗有光澤保護層的技術","recognition"
"recess","n.","課間休息；(議會) 休會","The children ran out to play as soon as the **recess** bell rang.","** 常指短暫的休息時間","recognition"
"In light of","phr.","考慮到；鑒於","**In light of** recent events, we have decided to postpone the meeting.","** 常用於決定某事時的背景考量","recognition"
"churn","v.","劇烈攪動；翻騰","The violent storm caused the ocean waters to **churn** uncontrollably.","** 常形容液體劇烈運動","recognition"
"make ends meet","v. phr.","make ends meet [v. phr.]","With the rising cost of living, it’s hard for many families to **make ends meet**.","** 字面意思是「讓收入與支出的兩端接上」","recognition"
"volatile","adj.","易揮發的；不穩定的","The stock market is extremely **volatile** due to the political instability.","** 易揮發性的化學物質；或是指情緒|局勢不穩","recognition"
"sink one's differences","v. phr.","撇開分歧；不再爭論","The two political parties agreed to **sink their differences** to form a coalition government.","** 為了共同目標而暫時放下不合","recognition"
"circumstantial evidence","n.","間接證據；情況證據","Without a witness, the case relies entirely on **circumstantial evidence**.","","recognition"
"expedite","v.","加快進度；加速","We can pay an extra fee to **expedite** the delivery of our passports.","** 比 speed up 更正式的說法","recognition"
"經濟衰退","","經濟衰退","","","production"
"perceptual","adj.","感知的；感覺的","The artist uses shadows to create a **perceptual** illusion of depth.","** perceptual ability (感知能力)","recognition"
"fail to recognize the importance of...","","忽略...的重要性","","** recognize (認可|意識到)；用 fail to 比 ignore 更正式","production"
"baffle","v.","使困惑；難倒","The complex mystery continued to **baffle** even the most experienced detectives.","** be baffled by sth. (對某事感到困惑)","recognition"
"mysteries","","謎團 (注意：可數)","","** mystery (神秘的事物|謎團)","production"
"tweak","v.","微調；稍微改進","We need to **tweak** the settings slightly to get the best performance.","** 指為了更好的結果而做的小更動","recognition"
"inured to","adj. phr.","習慣於（令人不快的事物）","Doctors and nurses often become **inured to** the sight of blood and suffering.","** 進階搭配，指因長期接觸而對痛苦、困難變得麻木或適應","recognition"
"put an end to","v. phr.","終結；廢止","The new law was designed to **put an end to** illegal street racing.","** 比單純的 stop 更具決心與正式感","recognition"
"contingent on","adj. phr.","contingent on [adj. phr.]","Our outdoor wedding plans are **contingent on** the weather.","** 強調某事發生的前提條件","recognition"
"It is kind of sb. to V / be kind to / kind of","","kind 的三種用法 (體貼/友善/有點)","","","production"
"invoke","v.","invoke [v.]","The lawyer **invoked** the right to remain silent to protect his client.","** 指引用法律、原則作為依據，或祈求神靈保佑|** invoke a law|invoke a spirit","recognition"
"democratized","v.","大眾化；普及化","Smartphones have **democratized** photography, allowing everyone to take high-quality photos.","** 指讓原本昂貴或稀少的東西變得人人可得","recognition"
"press conference","","記者會","","** press (新聞界|媒體)","production"
"conclude","v.","conclude [v.]","After months of negotiation, the two countries finally **concluded** a peace treaty.","** 除了「結束」與「推論」，在此指正式簽署文件","recognition"
"ignite","v.","點燃；激起","The speaker's passionate words **ignited** a sense of hope in the audience.","** 可指物理點燃火種，也可指激發情緒或辯論|**  (spark a heated debate),  (spark controversy)","recognition"
"forestall","v.","預防；先發制人","The government took quick action to **forestall** an economic crisis.","** 在某事發生前先行動以阻止其發生","recognition"
"monumental","adj.","巨大的；紀念碑般的；重大的","Building the pyramid was a **monumental** task that required thousands of workers.","","recognition"
"unsynchronized","adj.","不同步的","The **unsynchronized** flashing of the lights was quite distracting.","** syn- (共同) + chron (時間)","recognition"
"raise goose bumps","v. phr.","起雞皮疙瘩","The ghost story was so scary that it **raised goose bumps** all over my arms.","** 常因寒冷或恐懼而起","recognition"
"paved the way for","","為...鋪路；使（某事）能夠發生","","** 比 enable sth. 更有畫面感|**  (technological advancement)","production"
"be rife with","phr.","充滿了 (負面事物)","The local government's history **is rife with** corruption and scandals.","","recognition"
"the barrage of","phr.","連珠炮般的...；大量的...","The spacecraft was designed to withstand **the barrage of** the solar wind.","** a barrage of criticism|questions|solar wind","recognition"
"hit the sack","v. phr.","睡覺","I’ve had a very long day at work, so I think it's time to **hit the sack**.","** 非正式、生活化的說法","recognition"
"sound foundation of","n. phr.","...的穩固基礎","The student has a **sound foundation** of basic mathematics.","** sound 在此為形容詞「穩固的；健全的」","recognition"
"shortfall","n.","不足；差額","The school had to cancel the trip due to a funding **shortfall**.","** a shortfall in|of sth. (某物短缺)","recognition"
"vulture","n.","禿鷹；貪婪的人","The **vulture** circled high above the desert, searching for its next meal.","** feed on carrion (以腐肉為食)","recognition"
"A precede B","v.","A 在 B 之前發生(或位置在前)","In English grammar, an adjective usually **precedes** the noun it describes.","** A precedes B = A 先，B 後","recognition"
"line of business","n. phr.","行業","Can you tell me which **line of business** you are currently engaged in?","** be engaged in a line of business","recognition"
"lucid","adj.","清晰易懂的；神智清醒的","The professor gave a **lucid** explanation of the complex physical theory.","** 指表達非常明瞭，或指人在生病中恢復意識","recognition"
"the + River Name","","河流名稱的冠詞用法","","","production"
"pseudonym","n.","假名；筆名","The author wrote her first novel under a **pseudonym** to remain anonymous.","** pseudo- (假的) + -nym (名字)","recognition"
"garb","n.","服裝；裝束","The monk was dressed in traditional saffron **garb**.","** in religious|military garb","recognition"
"defibrillate","v.","電擊；除顫","Paramedics used an AED to **defibrillate** the patient's heart.","** defibrillator (除顫器)","recognition"
"glean","v.","蒐集；汲取 (信息或知識)","From the old records, the historian managed to **glean** some valuable information.","** glean information|glean insights|** 指費力地從小處蒐集","recognition"
"scorched craters","n. phr.","焦黑的坑洞","The surface of the planet is covered in **scorched craters** from constant impacts.","","recognition"
"swallow one's pride","v. phr.","放下自尊；忍氣吞聲","He had to **swallow his pride** and ask his parents for a loan.","** 為了現實考量而收起傲氣","recognition"
"trumpet","n./v.","杏鮑菇(king trumpet)；小喇叭","The **king trumpet mushroom** is known for its thick, meaty stem.","** king trumpet mushroom 指杏鮑菇；trumpet 亦可作動詞指「大聲宣告」","recognition"
"a mine of information","n. phr.","(知識/資訊的) 寶庫；豐富來源","My grandfather is a **mine of information** about the history of our town.","** mine 原指礦坑，比喻挖掘不盡的資源","recognition"
"achievement presentation / showcase / Project Presentation","","成果發表會 / 專題發表","","** showcase (展示會)；Project Presentation (專題發表)","production"
"all walks of life","","各行各業","","** walk of life (階層|行業)","production"
"取決於...；視...而定","","取決於...；視...而定","","** pair with 'on'，意同 be dependent on","production"
"wispy","adj.","纖細的；稀疏的","The sky was filled with **wispy** clouds that looked like feathers.","** wisp (一縷|一束)","recognition"
"pride oneself on","","以...自豪","","** pride 在此為動詞，介係詞搭配 on","production"
"pester","","不斷纏著；煩擾","","** pester sb. for sth.|to V.","production"
"figurative","adj.","比喻的；象徵性的","The phrase ""heart of gold"" is a **figurative** expression, not a literal one.","** 相對於 literal (字面上的)","recognition"
"jeopardized","v.","使受威脅；危及","His reckless behavior **jeopardized** the success of the entire mission.","","recognition"
"musical instruments","","樂器","","** musical (音樂的)；instrument (儀器|樂器)","production"
"poignant","adj.","鼻酸的；深刻的；強烈感人的","The movie's ending was so **poignant** that many people left the theater in tears.","** 常形容悲傷、憐憫或痛苦的感受","recognition"
"understatement","n.","輕描淡寫；含蓄的說法","To say the exam was ""a bit difficult"" is a massive **understatement**—it was impossible.","** 指實際情況遠比所說的嚴重或巨大","recognition"
"respiratory","adj.","呼吸系統的","Smoking can cause various **respiratory** diseases, such as lung cancer.","** respiratory tract (呼吸道)","recognition"
"get over the shock of","","從...的震驚中恢復/平復","","** get over (克服|恢復)","production"
"對...有益","","對...有益","","","production"
"lose heart / allow one's spirit to be daunted","","喪氣；氣餒","","** daunted (被嚇住的|氣餒的)","production"
"reputation in tatters","n. phr.","名譽掃地；聲名浪藉","After the scandal broke, the politician's **reputation** was **in tatters**.","** tatters 指「破爛的碎布」，形容名聲毀壞殆盡","recognition"
"convoluted","adj.","複雜難懂的；旋繞的","I couldn't follow the movie because the plot was too **convoluted**.","** 指邏輯或結構像迷宮一樣複雜","recognition"
"food is served / food is ordered","","飯菜做好了 (可開動) / 餐點點好了","","** served (上菜)；ordered (點餐)","production"
"in its infant stage","phr.","處於嬰兒期；處於起步階段","The field of quantum computing is still **in its infant stage**.","** 用 infant (嬰兒) 形容技術或計畫剛開始","recognition"
"online fraud","","網路詐欺","","** fraud (詐騙)","production"
"Mercury","n.","水星","**Mercury** is the smallest planet in our solar system and the closest to the Sun.","","recognition"
"be set against","v. phr.","以...為背景","The novel **is set against** the backdrop of the French Revolution.","** 常見於文學描述，指故事發生的時空背景","recognition"
"gain ground on","v. phr.","趕上；逼近；取得進展","The challenger is slowly **gaining ground on** the current champion in the polls.","** 指在競爭中縮小差距或擴張勢力","recognition"
"travel back and forth between","","來回於...之間","","** 形容兩地之間的通勤或往返","production"
"do a favor","","幫一個忙","","** do sb. a favor|do a favor for sb.","production"
"benevolent","adj.","仁慈的；慈善的","The organization was founded by a **benevolent** businessman who wanted to help the poor.","** bene- (好) + vol- (意願)","recognition"
"underdog","n.","處於劣勢的人/隊伍","Everyone loves to cheer for the **underdog** in a sports competition.","","recognition"
"disentangle","v.","解開；理清","It is difficult to **disentangle** fact from fiction in this complicated story.","** disentangle A from B (將 A 從 B 中理清)","recognition"
"prefrontal cortex","n.","前額葉皮質","The **prefrontal cortex** is responsible for complex cognitive behavior and decision making.","","recognition"
"精通於...；擅長於...","","精通於...；擅長於...","","** adept (熟練的)；相當於 be good at","production"
"quincentennial","n./adj.","五百週年紀念","The city is planning a grand celebration for its **quincentennial** anniversary.","","recognition"
"pull someone's leg","v. phr.","開某人玩笑；耍某人","Don't get angry; he was just **pulling your leg** about the surprise party.","** 並非真的拉腿，而是開玩笑","recognition"
"table","v.","擱置 (提議/議案)","The committee decided to **table** the motion until the next meeting.","","recognition"
"cut corners","v. phr.","偷工減料；抄近路","If you **cut corners** on safety, you are bound to have an accident eventually.","** 為了省時省錢而草率行事","recognition"
"Venus","n.","金星","**Venus** is often called Earth's twin because of its similar size and density.","","recognition"
"voucher","n.","禮券；代金券；憑證","This **voucher** can be used for a free meal at any of our restaurant branches.","** 指可以用來兌換商品或服務的票券","recognition"
"conduct animal experimentation / experiments","","進行動物實驗","","** conduct (執行|進行)；experimentation (不可數，指實驗過程)","production"
"primate","n.","靈長類動物","Monkeys, apes, and humans are all classified as **primates**.","** 包括人類、猴子、猩猩","recognition"
"practice environmental protection","","落實環保","","** practice (實踐|落實)","production"
"ape","n.","類人猿；大猩猩","Humans, chimpanzees, and gorillas are all classified as **apes**.","** 指無尾的靈長類 (如黑猩猩、長臂猿)","recognition"
"aquatic","adj.","水生的；水棲的","**Aquatic** plants grow in or near water.","** aquatic sports (水上運動)","recognition"
"greenhouse gas emissions","","溫室氣體排放","","** 注意詞序，此用法最地道 (不建議寫 the emissions of...)","production"
"tentacle","n.","（海洋動物的）觸手；觸角","The octopus wrapped a **tentacle** around the rock.","","recognition"
"plug in","v. phr.","鍵入；打入 (e.g., email)","Simply **plug in** your email address to receive our weekly newsletter.","** 在數位表格或系統中輸入資料。","recognition"
"polymetallic","adj.","多金屬的","Scientists are exploring the deep sea for **polymetallic** resources.","","recognition"
"ornithologist","n.","鳥類學家","The **ornithologist** spent years studying the migratory patterns of eagles.","** ornitho- (鳥) + -logist (專家)","recognition"
"catalyst","n.","catalyst [n.]","The protest served as a **catalyst** for political change.","** act as a catalyst for","recognition"
"sludge","n.","淤泥；汙泥","The industrial waste was reduced to a thick, black **sludge**.","** 常指工廠廢料或水溝淤積","recognition"
"send out","","排放 (氣體、熱量等)","","","production"
"a canopy of","","一片覆蓋似天蓬的...","We walked under **a canopy of** dense leaves in the rainforest.","** canopy 原指樹冠層或遮雨蓬","recognition"
"technological innovation","","科技創新","","","production"
"tape player","n.","錄音機；放音機","He found an old **tape player** and played some music from the 80s.","","recognition"
"on the verge of extinction / critically endangered","","瀕臨絕種","","** verge (邊緣)；extinction (絕種)；endangered (瀕危的)","production"
"mitigate global warming","","減緩全球暖化","","** mitigate (減輕|緩和) 是作文加分字","production"
"contraption","n.","奇妙的機械/裝置 (通常指臨時拼湊的)","He built a strange **contraption** to feed his dog automatically.","","recognition"
"aquaculture","n.","水產養殖","The government is promoting **aquaculture** to reduce the pressure on wild fish stocks.","** aqua- (水) + culture (耕作|養殖)","recognition"
"inanimate","adj.","無生命的；無生氣的","...how much human nature it could breathe into an **inanimate** object.","","recognition"
"tadpole","n.","蝌蚪","A **tadpole** swims in water before it grows legs.","","recognition"
"be home to + N.","","是...的發源地；是...的棲息地","","** 指該地是某物種自然生長或常見的地方","production"
"venom","n.","(蛇、蜘蛛等的) 毒液；惡意","The snake's **venom** can be deadly within minutes.","","recognition"
"chlorine","n.","氯","The swimming pool smells strongly of **chlorine**.","** 常用於消毒 (disinfection)","recognition"
"cosmonaut","","俄國太空人 vs. 美國太空人","The Russian **cosmonaut** worked with the **astronaut** on the ISS.","","recognition"
"chilly","","寒冷的","","","production"
"strain","n.","(動植物、病毒的) 品系；株；類型","Scientists have identified a new **strain** of the virus.","","recognition"
"methane","n.","甲烷 (CH4)","Cows release a significant amount of **methane**.","","recognition"
"straddling","v.","跨坐；橫跨 (包含 straddle)","The city is **straddling** the border between the two countries.","** straddle the line|border","recognition"
